State/UnionTerritory,Sno,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,number of change,Cured Rate,Deaths Rate,Missing Rate
Andaman and Nicobar Islands,4739.880308880309,0.03088803088803089,0.0,1662.822393822394,24.787644787644787,1867.8030888030887,180.1930501930502,0.8902557254512043,0.013271016059583142,0.09647325848921251
Andhra Pradesh,4508.611721611722,0.2967032967032967,0.0,278481.91575091577,2621.010989010989,310678.7655677656,29575.838827838827,0.896366107422855,0.008436402095975534,0.09519749048116943
Arunachal Pradesh,4878.175298804781,0.0,0.0,4319.003984063745,13.0199203187251,5235.406374501992,903.3824701195219,0.8249606000211552,0.0024868977472572214,0.17255250223158758
Assam,4844.924901185771,0.0,0.0,74786.26877470355,338.55731225296444,85784.90513833992,10660.0790513834,0.8717882085910155,0.0039465837457883105,0.12426520766319626
Bihar,4676.273764258555,0.12167300380228137,0.0,82474.38783269962,463.851711026616,90841.7680608365,7903.528517110266,0.9078906057560079,0.005106150187609466,0.0870032440563826
Cases being reassigned to states,3188.983333333333,0.0,0.0,0.0,0.0,5759.416666666667,5759.416666666667,0.0,0.0,1.0
Chandigarh,4613.188679245283,0.18867924528301888,0.0,4459.320754716981,77.18867924528301,5237.2754716981135,700.7660377358491,0.8514581252819051,0.014738327144028507,0.13380354757406643
Chandigarh***,8422.0,0.0,0.0,14381.0,246.0,15636.0,1009.0,0.9197365055001279,0.015732924021488872,0.06453057047838329
Chhattisgarh,4628.0939849624065,0.09398496240601503,0.0,49271.92857142857,639.4172932330827,60344.39473684211,10433.04887218045,0.8165121016840119,0.010596134007500431,0.17289176430848763
Dadar Nagar Haveli,2255.135135135135,0.0,0.0,0.3783783783783784,0.0,5.027027027027027,4.648648648648648,0.07526881720430108,0.0,0.9247311827956989
Dadra and Nagar Haveli and Daman and Diu,6110.116022099448,0.0,0.0,1947.596685082873,1.6353591160220995,2124.961325966851,175.7292817679558,0.9165327675771805,0.0007695947667555861,0.08269763765606397
Daman & Diu,2891.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
Delhi,4357.724381625441,1.243816254416961,0.038869257950530034,144001.8551236749,3291.1519434628976,164120.06360424028,16827.056537102475,0.8774177389482465,0.020053318717930754,0.10252894233382281
Goa,4748.602316602317,0.03474903474903475,0.0,14344.54054054054,213.15444015444015,16404.405405405407,1846.7104247104246,0.8744322141547342,0.012993731554830006,0.11257405429043588
Gujarat,4648.566037735849,0.9660377358490566,0.018867924528301886,66323.92830188679,2169.456603773585,78448.52075471698,9955.135849056604,0.8454452380212515,0.027654525323132225,0.12690023665561634
Haryana,4391.320284697509,0.39501779359430605,0.9466192170818505,56231.49110320285,693.6192170818505,64273.330960854095,7348.220640569395,0.8748806116404771,0.0107917110676013,0.1143276772919215
Himachal Pradesh,4667.295454545455,0.07954545454545454,0.0,6903.44696969697,122.03030303030303,8918.261363636364,1892.784090909091,0.7740799117914765,0.013683194297026743,0.2122368939114968
Jammu and Kashmir,4472.326086956522,0.3442028985507246,0.0,29767.655797101448,572.7572463768116,35762.69565217391,5422.282608695652,0.832366108154153,0.016015494244265543,0.15161839760158147
Jharkhand,4855.790513833992,0.0,0.0,34243.671936758896,346.8853754940711,39178.217391304344,4587.660079051383,0.8740487499658247,0.008854036722228786,0.11709721331194656
Karnataka,4473.760869565217,1.4673913043478262,0.0,243894.1231884058,4148.300724637681,287517.20652173914,39474.782608695656,0.8482766166899476,0.014428008587110519,0.13729537472294195
Kerala,3923.393650793651,3.4634920634920636,0.21904761904761905,91794.84761904762,419.0730158730159,115577.95555555556,23364.03492063492,0.7942245316402403,0.0036258905416576394,0.20214957781810206
Ladakh,4444.255395683454,0.5827338129496403,0.0,1970.794964028777,27.87769784172662,2447.982014388489,449.3093525179856,0.8050692171940184,0.011388032133353123,0.18354275067262849
Madhya Pradesh,4673.215909090909,0.3977272727272727,0.0,57112.257575757576,1282.564393939394,66456.95833333333,8062.136363636364,0.8593871734137333,0.01929917387290487,0.12131365271336181
Maharashtra,4463.84,4.04,0.13090909090909092,531681.2327272728,18430.563636363637,652547.7345454545,102435.93818181819,0.814777532095221,0.028244008308758936,0.15697845959602008
Maharashtra***,8261.0,0.0,0.0,1581373.0,45325.0,1723135.0,96437.0,0.917730183647828,0.026303800920995744,0.0559660154311763
Manipur,4725.712643678161,0.019157088122605363,0.0,5387.386973180077,55.30651340996169,6852.727969348659,1410.0344827586207,0.7861667641378941,0.008070729446337337,0.20576250641576854
Meghalaya,5086.625,0.0,0.0,2763.508333333333,30.845833333333335,3541.141666666667,746.7875,0.7804003887635107,0.00871070299832681,0.21088890823816253
Mizoram,4744.55,0.015384615384615385,0.0,874.0307692307692,0.6115384615384616,1094.5423076923078,219.9,0.7985353906269217,0.0005587161475994533,0.2009058932254788
Nagaland,5617.227053140096,0.0,0.0,3526.6376811594205,17.043478260869566,4438.429951690821,894.7487922705315,0.7945687370408869,0.0038399791021545464,0.20159128385695857
Odisha,4595.654275092937,0.08550185873605948,0.0,91322.13382899629,475.2156133828996,101841.94052044609,10044.591078066915,0.896704573403746,0.004666207369521734,0.09862921922673229
Puducherry,4629.756554307116,0.04119850187265917,0.0,10618.157303370786,215.59925093632958,12489.153558052434,1655.3970037453184,0.8501903074547983,0.0172629193751342,0.13254677317006747
Punjab,4469.650909090909,0.84,0.0,41486.10181818182,1467.3163636363636,48506.472727272725,5553.054545454545,0.855269399847668,0.030249908540790807,0.11448069161154117
Punjab***,8443.0,0.0,0.0,130406.0,4428.0,140605.0,5771.0,0.9274634614700757,0.031492478930336756,0.04104405959958746
Rajasthan,4390.656028368794,1.049645390070922,0.4787234042553192,63699.99290780142,818.0957446808511,74260.43971631206,9742.351063829787,0.8577917549525238,0.011016575552287607,0.13119166949518857
Sikkim,5794.435,0.0,0.0,1671.565,29.99,1998.835,297.28,0.8362696270577612,0.015003739678362646,0.14872663326387614
Tamil Nadu,4454.902877697842,0.49640287769784175,0.09352517985611511,267062.9604316547,4644.057553956834,297804.1007194245,26097.08273381295,0.8967739523616147,0.015594337159017913,0.08763171047936735
Telangana,3742.1555555555556,0.0,0.0,15143.022222222222,296.4888888888889,23937.37777777778,8497.866666666667,0.6326099025048691,0.012386022046413696,0.35500407544871715
Telangana***,4527.0,0.0,0.0,40334.0,455.0,52466.0,11677.0,0.7687645332215148,0.008672283002325315,0.2225631837761598
Telengana,4497.39406779661,1.0423728813559323,0.4110169491525424,92212.10593220338,632.728813559322,105449.4872881356,12604.652542372882,0.8744670865988972,0.006000302418070761,0.11953261098303203
Telengana***,4632.0,0.0,0.0,42909.0,480.0,57142.0,13753.0,0.7509187637814567,0.008400126001890029,0.24068111021665328
Tripura,4975.384615384615,0.0,0.0,10548.275303643724,130.62753036437246,12491.319838056681,1812.417004048583,0.8444484202147174,0.010457464227790892,0.14509411555749163
Unassigned,549.3333333333334,0.0,0.0,0.0,0.0,53.666666666666664,53.666666666666664,0.0,0.0,1.0
Uttar Pradesh,4411.64768683274,1.6441281138790036,0.060498220640569395,154562.17081850534,2691.8078291814945,178945.98576512455,21692.007117437723,0.863736451855231,0.015042571744049209,0.12122097640071983
Uttarakhand,4586.996296296296,0.12962962962962962,0.018518518518518517,19018.762962962963,335.5925925925926,22492.71851851852,3138.362962962963,0.8455519926283963,0.01492005478645435,0.13952795258514938
West Bengal,4638.516853932584,0.26591760299625467,0.0,124967.0936329588,2758.614232209738,143632.7415730337,15907.033707865168,0.870046009456807,0.01920602643936202,0.11074796410383103
